class_id,class_coverage,support_count,model_name,scoring_method,window_size
0,0.6969365426695843,914,AlexNet,RAPS,9
1,0.73568281938326,454,AlexNet,RAPS,9
2,0.7430167597765364,358,AlexNet,RAPS,9
3,0.7307692307692307,156,AlexNet,RAPS,9
4,0.7788461538461539,104,AlexNet,RAPS,9
5,0.7821782178217822,101,AlexNet,RAPS,9
6,0.7352941176470589,68,AlexNet,RAPS,9
0,0.6958424507658644,914,AlexNet,SAPS,9
1,0.73568281938326,454,AlexNet,SAPS,9
2,0.7150837988826816,358,AlexNet,SAPS,9
3,0.7628205128205128,156,AlexNet,SAPS,9
4,0.7788461538461539,104,AlexNet,SAPS,9
5,0.7524752475247525,101,AlexNet,SAPS,9
6,0.8823529411764706,68,AlexNet,SAPS,9
0,0.6849015317286652,914,GFNet,RAPS,9
1,0.6784140969162996,454,GFNet,RAPS,9
2,0.7458100558659218,358,GFNet,RAPS,9
3,0.7884615384615384,156,GFNet,RAPS,9
4,0.7403846153846154,104,GFNet,RAPS,9
5,0.7128712871287128,101,GFNet,RAPS,9
6,0.7058823529411765,68,GFNet,RAPS,9
0,0.6728665207877462,914,GFNet,SAPS,9
1,0.7202643171806168,454,GFNet,SAPS,9
2,0.7458100558659218,358,GFNet,SAPS,9
3,0.7756410256410257,156,GFNet,SAPS,9
4,0.75,104,GFNet,SAPS,9
5,0.7128712871287128,101,GFNet,SAPS,9
6,0.75,68,GFNet,SAPS,9
0,0.6356673960612691,914,ViT,RAPS,9
1,0.7422907488986784,454,ViT,RAPS,9
2,0.7737430167597765,358,ViT,RAPS,9
3,0.782051282051282,156,ViT,RAPS,9
4,0.7211538461538461,104,ViT,RAPS,9
5,0.7029702970297029,101,ViT,RAPS,9
6,0.7941176470588235,68,ViT,RAPS,9
0,0.6673960612691466,914,ViT,SAPS,9
1,0.7202643171806168,454,ViT,SAPS,9
2,0.7597765363128491,358,ViT,SAPS,9
3,0.8205128205128205,156,ViT,SAPS,9
4,0.7019230769230769,104,ViT,SAPS,9
5,0.6732673267326733,101,ViT,SAPS,9
6,0.7941176470588235,68,ViT,SAPS,9
